model,model_display,cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,brier_score,log_loss,confusion_matrix,false_positives,false_negatives,likely_real,uncertain,likely_fake,strong_coverage,strong_accuracy,mean_probability_fake_real,mean_probability_fake_fake,length_group,length_description
word_tfidf,Word TF-IDF,length_very_short_le_60,9,6,3,0.7778,0.8667,0.7778,0.7833,1.0,0.6667,0.8,0.6,1.0,0.75,0.195357,0.579755,"[[4, 2], [0, 3]]",2,0,2,3,4,0.6667,0.8333,0.4947,0.9532,very_short_le_60,Shumë të shkurtër (<=60)
word_tfidf,Word TF-IDF,length_short_61_120,341,75,266,0.9267,0.9253,0.9267,0.9245,0.8906,0.76,0.8201,0.935,0.9737,0.954,0.046667,0.156708,"[[57, 18], [7, 259]]",18,7,47,39,255,0.8856,0.9768,0.3,0.9365,short_61_120,Të shkurtër (61-120)
word_tfidf,Word TF-IDF,length_medium_121_250,269,174,95,0.8587,0.8577,0.8587,0.858,0.882,0.9023,0.892,0.8132,0.7789,0.7957,0.096207,0.316275,"[[157, 17], [21, 74]]",17,21,147,54,68,0.7993,0.9395,0.1776,0.742,medium_121_250,Mesatarë (121-250)
word_tfidf,Word TF-IDF,length_long_gt_250,173,144,29,0.8439,0.8195,0.8439,0.7984,0.8503,0.9861,0.9132,0.6667,0.1379,0.2286,0.118465,0.458568,"[[142, 2], [25, 4]]",2,25,156,14,3,0.9191,0.8742,0.0627,0.2495,long_gt_250,Të gjatë (>250)
char_tfidf,Character TF-IDF,length_very_short_le_60,9,6,3,0.8889,0.9167,0.8889,0.8918,1.0,0.8333,0.9091,0.75,1.0,0.8571,0.167246,0.712835,"[[5, 1], [0, 3]]",1,0,3,2,4,0.7778,0.8571,0.3916,0.9733,very_short_le_60,Shumë të shkurtër (<=60)
char_tfidf,Character TF-IDF,length_short_61_120,341,75,266,0.9267,0.9254,0.9267,0.9258,0.8571,0.8,0.8276,0.9446,0.9624,0.9534,0.041925,0.140268,"[[60, 15], [10, 256]]",15,10,53,28,260,0.9179,0.9744,0.2475,0.9403,short_61_120,Të shkurtër (61-120)
char_tfidf,Character TF-IDF,length_medium_121_250,269,174,95,0.8513,0.8499,0.8513,0.8501,0.8722,0.9023,0.887,0.809,0.7579,0.7826,0.09976,0.329007,"[[157, 17], [23, 72]]",17,23,147,56,66,0.7918,0.9296,0.17,0.7314,medium_121_250,Mesatarë (121-250)
char_tfidf,Character TF-IDF,length_long_gt_250,173,144,29,0.8439,0.8195,0.8439,0.7984,0.8503,0.9861,0.9132,0.6667,0.1379,0.2286,0.116227,0.417818,"[[142, 2], [25, 4]]",2,25,152,18,3,0.896,0.8903,0.0721,0.2692,long_gt_250,Të gjatë (>250)
word_char_tfidf,Word + Character TF-IDF,length_very_short_le_60,9,6,3,0.7778,0.8667,0.7778,0.7833,1.0,0.6667,0.8,0.6,1.0,0.75,0.163663,0.604993,"[[4, 2], [0, 3]]",2,0,3,2,4,0.7778,0.8571,0.3956,0.973,very_short_le_60,Shumë të shkurtër (<=60)
word_char_tfidf,Word + Character TF-IDF,length_short_61_120,341,75,266,0.9472,0.9465,0.9472,0.9467,0.9014,0.8533,0.8767,0.9593,0.9737,0.9664,0.037319,0.125682,"[[64, 11], [7, 259]]",11,7,54,31,256,0.9091,0.9806,0.2312,0.948,short_61_120,Të shkurtër (61-120)
word_char_tfidf,Word + Character TF-IDF,length_medium_121_250,269,174,95,0.8848,0.8845,0.8848,0.8846,0.9086,0.9138,0.9112,0.8404,0.8316,0.836,0.088149,0.294822,"[[159, 15], [16, 79]]",15,16,152,44,73,0.8364,0.9289,0.1604,0.7704,medium_121_250,Mesatarë (121-250)
word_char_tfidf,Word + Character TF-IDF,length_long_gt_250,173,144,29,0.8497,0.8318,0.8497,0.8091,0.8554,0.9861,0.9161,0.7143,0.1724,0.2778,0.107135,0.398606,"[[142, 2], [24, 5]]",2,24,150,20,3,0.8844,0.8954,0.064,0.3038,long_gt_250,Të gjatë (>250)
