article_id,pair_id,label,label_name,title,content_length,raw_text_length
true_1,1,0,real,Studimi gjerman: Gjysma e pacientëve me COVID-19 që ishin në respirator ndërruan jetë,1792,1878
true_2,2,0,real,Qorraj: Projekti i Xhamisë së Madhe në Prishtinë nuk është kopjim,2913,2979
true_3,3,0,real,"E rëndë, vritet me thikë një 35-vjeçar",489,528
true_4,4,0,real,Deputetja e AAK-së “sulmon” LDK-në,625,660
true_5,5,0,real,​Ramiz Kelmendi: Me 300 milionë euro kredi e shpëtojmë ekonominë,1821,1886
true_6,6,0,real,"Arben Gashi: Nuk pata kontakt fizik me askënd, ta shikoni videon me vëmendje",1528,1605
true_7,7,0,real,"Covid-19, Minxhozi: Reciprocitet masash Kosovë-Shqipëri, turizmi në rënie",2575,2649
true_8,8,0,real,"Inspektorati dhe policia nisin aksionin në Prizren, shohin nga afër sa po respektohen masat anti-COVID",582,685
true_9,9,0,real,"“Këtu nisi gjithçka”, paralajmërohet eskalimi i situatës mes Vetëvendosjes dhe LDK-së",2724,2810
true_10,10,0,real,Labinot Tahiri: Gjyshes 87-vjeçare nga Istogu nga sot me pension 200 euro,2061,2135
true_11,11,0,real,Arkitekti thotë se Xhamia e Madhe po futet në skutë: Nuk e ka lokacionin e duhur,535,616
true_12,12,0,real,Këto janë shenjat që tregojnë se e keni kaluar Koronavirusin,1393,1454
true_13,13,0,real,Këta janë dy treguesit që shpërfaqin menaxhimin e pandemisë nga Qeveria,1259,1331
true_14,14,0,real,"Kjo është pasuria e Gazmend Gjyshincës, deputetit që u sulmua dje në Kuvend",719,795
true_15,15,0,real,"Dedaj kontaktohet nga Specialja, këto ishin akuzat e rënda ndaj Thaçit: Më ka torturu fizikisht, moralisht dhe...",1586,1700
true_16,16,0,real,Gjergj Dedaj kontaktohet nga Gjykata Speciale,418,464
true_17,17,0,real,Deputeti i AAK-së inicon rivarrimin e Shotë Galicës në Kosovë,1084,1146
