"external_id","title","content","label","source","url","published_date","label_evidence","evidence_url","topic","content_origin","review_status"
"EXT-R-001","Prezantohet programi EU4Municipalities II për bashkitë shqiptare","Programi EU4Municipalities II u prezantua si një nismë e mbështetur nga Bashkimi Europian për forcimin e qeverisjes vendore. Programi zbatohet nga GIZ me partnerë vendorë dhe synon investime në infrastrukturë, modernizim të shërbimeve bashkiake dhe ngritje të kapaciteteve institucionale.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/projekti-eu4municipalities-ii-investim-strategjik-per-fuqizimin-e-bashkive-dhe-pershpejtimin-e-rruges-se-shqiperise-drejt-be-se/","2026-05-08","Njoftim zyrtar i Këshillit të Ministrave; etiketa mbulon zhvillimin e raportuar dhe jo vlerësimet politike të pjesëmarrësve.","https://www.kryeministria.al/newsroom/projekti-eu4municipalities-ii-investim-strategjik-per-fuqizimin-e-bashkive-dhe-pershpejtimin-e-rruges-se-shqiperise-drejt-be-se/","politikë","manual_summary_sq","approved"
"EXT-R-002","Shqipëria merr pjesë në Konferencën e tetë Ndërqeveritare me BE-në","Delegacioni shqiptar mori pjesë në Bruksel në Konferencën e tetë Ndërqeveritare Shqipëri-Bashkimi Europian. Takimi trajtoi ecurinë e negociatave dhe kushtet për kapitujt që lidhen me gjyqësorin, të drejtat themelore, drejtësinë, lirinë dhe sigurinë.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/konferenca-e-8-nderqeveritare-shqiperi-bashkimi-europian/","2026-05-26","Faqja zyrtare publikoi agjendën dhe pjesëmarrjen e delegacionit; etiketa lidhet me mbajtjen e konferencës.","https://www.kryeministria.al/newsroom/konferenca-e-8-nderqeveritare-shqiperi-bashkimi-europian/","politikë","manual_summary_sq","approved"
"EXT-R-003","Shqipëria mbyll provizorisht tre kapituj negociatash me BE-në","Në përfundim të Konferencës së nëntë Ndërqeveritare Shqipëri-Bashkimi Europian u njoftua mbyllja provizore e kapitujve për shkencën dhe kërkimin, arsimin dhe kulturën, si dhe marrëdhëniet me jashtë. Ngjarja u raportua pas takimit zyrtar në Bruksel.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/shqiperia-mbyll-tre-kapitujt-e-pare-te-negociatave-me-be-ne/","2026-07-14","Njoftim zyrtar pas konferencës ndërqeveritare; etiketa mbulon vendimin procedural të raportuar.","https://www.kryeministria.al/newsroom/shqiperia-mbyll-tre-kapitujt-e-pare-te-negociatave-me-be-ne/","politikë","manual_summary_sq","approved"
"EXT-R-004","Qeveria diskuton kalendarin e negociatave me Bashkimin Europian","Në një takim me ministrat e kabinetit u paraqit gjendja e procesit të negociatave të Shqipërisë me Bashkimin Europian. Diskutimi përfshiu kalendarin e përbashkët me Komisionin Europian, reformat e lidhura me Planin e Rritjes dhe detyrimet institucionale për fazat e ardhshme.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/panorama-e-negociatave-me-bashkimin-europian-shqiperia-ne-rruge-te-qendrueshme-drejt-anetaresimit/","2026-03-30","Njoftim zyrtar për takimin e zhvilluar; etiketa nuk miraton vlerësimet politike mbi ritmin e integrimit.","https://www.kryeministria.al/newsroom/panorama-e-negociatave-me-bashkimin-europian-shqiperia-ne-rruge-te-qendrueshme-drejt-anetaresimit/","politikë","manual_summary_sq","approved"
"EXT-R-005","Spitali Rajonal i Lezhës zgjeron shërbimet e specializuara","Spitali Rajonal i Lezhës u vizitua pas rikonstruksionit dhe zgjerimit të shërbimeve. Struktura përfshin pajisje të reja dhe një njësi për sëmundjet infektive, ndërsa synimi i deklaruar është që më shumë shërbime të specializuara të ofrohen për pacientët e qarkut.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/spitali-rajonal-i-lezhes-investim-modern-qe-forcon-sherbimet-shendetesore-dhe-afron-specializimet-prane-qytetareve/","2026-04-08","Njoftim zyrtar për vizitën dhe investimin e përfunduar; përmbledhja kufizohet te shërbimet e raportuara.","https://www.kryeministria.al/newsroom/spitali-rajonal-i-lezhes-investim-modern-qe-forcon-sherbimet-shendetesore-dhe-afron-specializimet-prane-qytetareve/","shëndetësi","manual_summary_sq","approved"
"EXT-R-006","Prezantohet projekti për qendrën spitalore Health Hub Hospital në Tiranë","Në Tiranë u prezantua projekti Health Hub Hospital, i cili parashikon ndërtimin e një qendre të re spitalore nga Grupi San Donato. Sipas njoftimit, struktura do të fokusohet në diagnostikimin dhe trajtimin e patologjive komplekse me shërbime të specializuara.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/grupi-san-donato-sjell-ne-tirane-hhh-health-hub-hospital-nje-investim-strategjik-per-shendetesine-shqiptare-dhe-rajonale/","2026-07-07","Njoftim zyrtar për prezantimin e projektit dhe pjesëmarrësit; etiketa nuk garanton realizimin e ardhshëm të çdo objektivi.","https://www.kryeministria.al/newsroom/grupi-san-donato-sjell-ne-tirane-hhh-health-hub-hospital-nje-investim-strategjik-per-shendetesine-shqiptare-dhe-rajonale/","shëndetësi","manual_summary_sq","approved"
"EXT-R-007","Tetë spitale rajonale ofrojnë njësi kimioterapie","Një njoftim për reformën në onkologji raportoi hapjen e njësive të kimioterapisë në tetë spitale rajonale: Shkodër, Lezhë, Durrës, Elbasan, Fier, Berat, Korçë dhe Vlorë. Në QSUT u raportua gjithashtu vënia në punë e një akseleratori të tretë linear.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/shendetesia-ndryshimi-i-modelit-te-sherbimit-dhe-reforma-ne-onkologji/","2026-07-27","Burimi zyrtar dokumenton njësitë dhe pajisjen e raportuar; etiketa lidhet me masat konkrete të njoftuara.","https://www.kryeministria.al/newsroom/shendetesia-ndryshimi-i-modelit-te-sherbimit-dhe-reforma-ne-onkologji/","shëndetësi","manual_summary_sq","approved"
"EXT-R-008","Buxhetit të shëndetësisë i shtohen fonde për barnat onkologjike","Ndryshimet në buxhetin e vitit 2026 parashikuan 1.5 miliardë lekë shtesë për blerjen e barnave onkologjike dhe përmirësimin e shërbimeve spitalore. Akti përfshiu gjithashtu fonde për pagat e mjekëve dhe personelit të urgjencës.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/qeveria-miraton-aktin-normativ-per-ndryshimet-ne-buxhetin-2026-nga-1-korriku-nis-indeksimi-i-pensioneve/","2026-06-30","Njoftim zyrtar për aktin normativ dhe zërat buxhetorë; etiketa mbulon miratimin e masave të publikuara.","https://www.kryeministria.al/newsroom/qeveria-miraton-aktin-normativ-per-ndryshimet-ne-buxhetin-2026-nga-1-korriku-nis-indeksimi-i-pensioneve/","shëndetësi","manual_summary_sq","approved"
"EXT-R-009","Banka e Shqipërisë mban të pandryshuar normën bazë të interesit","Këshilli Mbikëqyrës i Bankës së Shqipërisë vendosi ta mbajë normën bazë të interesit në nivelin 2.5 për qind. Normat për depozitën dhe kredinë njëditore mbetën përkatësisht 1.5 dhe 3.5 për qind pas shqyrtimit të raportit të politikës monetare.","real","Banka e Shqipërisë","https://www.bankofalbania.org/Shtypi/Njoftimet_per_shtyp/Vendimet_e_politik_e_s_monetare.html","2026-05-06","Vendim i publikuar nga banka qendrore me normat përkatëse të interesit.","https://www.bankofalbania.org/Shtypi/Njoftimet_per_shtyp/Vendimet_e_politik_e_s_monetare.html","ekonomi","manual_summary_sq","approved"
"EXT-R-010","Fondi i Ndërhyrjes së Jashtëzakonshme arrin 8.22 miliardë lekë","Banka e Shqipërisë njoftoi se Fondi i Ndërhyrjes së Jashtëzakonshme u shtua me 1.18 miliardë lekë nga kontributi vjetor i bankave. Pas nëntë vitesh kontribute, niveli i përgjithshëm i fondit arriti në 8.22 miliardë lekë.","real","Banka e Shqipërisë","https://www.bankofalbania.org/Shtypi/Njoftimet_per_shtyp/Fondi_i_Nd_e_rhyrjes_s_e_Jasht_e_zakonshme.html","2026-05-20","Njoftim zyrtar i Bankës së Shqipërisë me vlerat dhe bazën ligjore të fondit.","https://www.bankofalbania.org/Shtypi/Njoftimet_per_shtyp/Fondi_i_Nd_e_rhyrjes_s_e_Jasht_e_zakonshme.html","ekonomi","manual_summary_sq","approved"
"EXT-R-011","INSTAT raporton rritje të PBB-së në tremujorin e parë të vitit 2026","Produkti i Brendshëm Bruto në terma realë u vlerësua me rritje 3.71 për qind në tremujorin e parë të vitit 2026 krahasuar me të njëjtën periudhë të vitit të kaluar. Rezultati u publikua në njoftimin periodik të INSTAT.","real","INSTAT","https://www.instat.gov.al/sq/temat/ekonomi-dhe-finance/llogarite-kombetare/publikimet/2026/produkti-i-brendshem-bruto-t1-2026/","2026-06-29","Publikim statistikor zyrtar i INSTAT për PBB-në e tremujorit të parë.","https://www.instat.gov.al/sq/temat/ekonomi-dhe-finance/llogarite-kombetare/publikimet/2026/produkti-i-brendshem-bruto-t1-2026/","ekonomi","manual_summary_sq","approved"
"EXT-R-012","Eksportet dhe importet e mallrave rriten në qershor 2026","INSTAT raportoi se eksportet e mallrave në qershor arritën 35.4 miliardë lekë, ndërsa importet 83.5 miliardë lekë. Krahasuar me një vit më parë, eksportet u rritën 13.6 për qind dhe importet 9.1 për qind.","real","INSTAT","https://www.instat.gov.al/sq/temat/tregtia-e-jashtme/tregtia-e-jashtme-e-mallrave/publikimet/2026/tregtia-e-jashtme-qershor-2026/","2026-07-17","Publikim statistikor zyrtar i INSTAT për tregtinë e jashtme të mallrave.","https://www.instat.gov.al/sq/temat/tregtia-e-jashtme/tregtia-e-jashtme-e-mallrave/publikimet/2026/tregtia-e-jashtme-qershor-2026/","ekonomi","manual_summary_sq","approved"
"EXT-R-013","Fondi Social 2026 financon katërmbëdhjetë shërbime të reja","Fondi Social 2026 do të financojë katërmbëdhjetë shërbime të reja për fëmijë, të moshuar, persona me aftësi të kufizuara dhe gra e vajza të prekura nga dhuna. Dymbëdhjetë shërbime do të ofrohen në bashki dhe dy në nivel qarku.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/prezantohen-sherbime-te-reja-sociale-pjese-e-fondit-social-2026/","2026-02-11","Njoftim zyrtar që rendit numrin, grupet përfituese dhe shtrirjen e shërbimeve.","https://www.kryeministria.al/newsroom/prezantohen-sherbime-te-reja-sociale-pjese-e-fondit-social-2026/","sociale","manual_summary_sq","approved"
"EXT-R-014","Mbahet finalja e Festivalit Kombëtar të Shkencës","Finalja e Festivalit Kombëtar të Shkencës mblodhi projekte kërkimore, eksperimente dhe prototipe të nxënësve të gjimnazeve. Sipas njoftimit, aktivitetet kishin nisur në laboratorët e 300 shkollave dhe kishin përfshirë mbi gjashtë mijë nxënës nga vendi.","real","Këshilli i Ministrave i Shqipërisë","https://www.kryeministria.al/newsroom/festivali-kombetar-i-shkences-arsim-cilesor-permes-nxitjes-se-inovacionit-dhe-kerkimit-shkencor-ne-shkolla/","2026-04-26","Njoftim zyrtar për aktivitetin, pjesëmarrjen dhe finalen e zhvilluar.","https://www.kryeministria.al/newsroom/festivali-kombetar-i-shkences-arsim-cilesor-permes-nxitjes-se-inovacionit-dhe-kerkimit-shkencor-ne-shkolla/","sociale","manual_summary_sq","approved"
