external_id,title,content,true_label,true_label_number,binary_prediction,binary_prediction_number,probability_real,probability_fake,probability_sum,decision,topic,source,source_group,published_date,prediction_correct,error_type,predicted_confidence,word_count,text_length,exclamation_count,uppercase_ratio,diacritic_ratio,sensational_words_found,source_markers_found,uncertainty_markers_found,length_group,interpretation
EXT-R-001,Prezantohet programi EU4Municipalities II për bashkitë shqiptare,"Programi EU4Municipalities II u prezantua si një nismë e mbështetur nga Bashkimi Europian për forcimin e qeverisjes vendore. Programi zbatohet nga GIZ me partnerë vendorë dhe synon investime në infrastrukturë, modernizim të shërbimeve bashkiake dhe ngritje të kapaciteteve institucionale.",real,0,fake,1,0.1663,0.8337,1.0,likely_fake,politikë,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-05-08,False,false_positive,0.8337,48,353,0,0.059406,0.036827,,,,long_48_51,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (48 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature.
EXT-R-002,Shqipëria merr pjesë në Konferencën e tetë Ndërqeveritare me BE-në,"Delegacioni shqiptar mori pjesë në Bruksel në Konferencën e tetë Ndërqeveritare Shqipëri-Bashkimi Europian. Takimi trajtoi ecurinë e negociatave dhe kushtet për kapitujt që lidhen me gjyqësorin, të drejtat themelore, drejtësinë, lirinë dhe sigurinë.",real,0,fake,1,0.4086,0.5914,1.0,uncertain,politikë,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-05-26,False,false_positive,0.5914,43,316,0,0.048689,0.072785,,,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (43 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. Pragjet e zhvendosën këtë gabim binar në zonën uncertain.
EXT-R-003,Shqipëria mbyll provizorisht tre kapituj negociatash me BE-në,"Në përfundim të Konferencës së nëntë Ndërqeveritare Shqipëri-Bashkimi Europian u njoftua mbyllja provizore e kapitujve për shkencën dhe kërkimin, arsimin dhe kulturën, si dhe marrëdhëniet me jashtë. Ngjarja u raportua pas takimit zyrtar në Bruksel.",real,0,fake,1,0.3305,0.6695,1.0,uncertain,politikë,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-07-14,False,false_positive,0.6695,43,310,0,0.041985,0.06129,,,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (43 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. Pragjet e zhvendosën këtë gabim binar në zonën uncertain.
EXT-R-004,Qeveria diskuton kalendarin e negociatave me Bashkimin Europian,"Në një takim me ministrat e kabinetit u paraqit gjendja e procesit të negociatave të Shqipërisë me Bashkimin Europian. Diskutimi përfshiu kalendarin e përbashkët me Komisionin Europian, reformat e lidhura me Planin e Rritjes dhe detyrimet institucionale për fazat e ardhshme.",real,0,fake,1,0.0953,0.9047,1.0,likely_fake,politikë,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-03-30,False,false_positive,0.9047,49,339,0,0.041667,0.029499,,,,long_48_51,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (49 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. Gabimi mbeti me të paktën 90% siguri; calibration nuk garanton saktësi për një rast individual jashtë shpërndarjes së trajnimit.
EXT-R-005,Spitali Rajonal i Lezhës zgjeron shërbimet e specializuara,"Spitali Rajonal i Lezhës u vizitua pas rikonstruksionit dhe zgjerimit të shërbimeve. Struktura përfshin pajisje të reja dhe një njësi për sëmundjet infektive, ndërsa synimi i deklaruar është që më shumë shërbime të specializuara të ofrohen për pacientët e qarkut.",real,0,fake,1,0.2569,0.7431,1.0,likely_fake,shëndetësi,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-04-08,False,false_positive,0.7431,48,322,0,0.025735,0.068323,,,,long_48_51,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (48 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature.
EXT-R-006,Prezantohet projekti për qendrën spitalore Health Hub Hospital në Tiranë,"Në Tiranë u prezantua projekti Health Hub Hospital, i cili parashikon ndërtimin e një qendre të re spitalore nga Grupi San Donato. Sipas njoftimit, struktura do të fokusohet në diagnostikimin dhe trajtimin e patologjive komplekse me shërbime të specializuara.",real,0,fake,1,0.1648,0.8352,1.0,likely_fake,shëndetësi,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-07-07,False,false_positive,0.8352,49,332,0,0.05,0.039157,,sipas,,long_48_51,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (49 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. U gjetën markerë burimi: sipas.
EXT-R-007,Tetë spitale rajonale ofrojnë njësi kimioterapie,"Një njoftim për reformën në onkologji raportoi hapjen e njësive të kimioterapisë në tetë spitale rajonale: Shkodër, Lezhë, Durrës, Elbasan, Fier, Berat, Korçë dhe Vlorë. Në QSUT u raportua gjithashtu vënia në punë e një akseleratori të tretë linear.",real,0,fake,1,0.1902,0.8098,1.0,likely_fake,shëndetësi,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-07-27,False,false_positive,0.8098,45,298,0,0.061224,0.083893,,raportoi,,medium_45_47,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (45 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. U gjetën markerë burimi: raportoi.
EXT-R-008,Buxhetit të shëndetësisë i shtohen fonde për barnat onkologjike,Ndryshimet në buxhetin e vitit 2026 parashikuan 1.5 miliardë lekë shtesë për blerjen e barnave onkologjike dhe përmirësimin e shërbimeve spitalore. Akti përfshiu gjithashtu fonde për pagat e mjekëve dhe personelit të urgjencës.,real,0,fake,1,0.1717,0.8283,1.0,likely_fake,shëndetësi,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-06-30,False,false_positive,0.8283,40,291,0,0.012448,0.061856,,,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (40 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature.
EXT-R-009,Banka e Shqipërisë mban të pandryshuar normën bazë të interesit,Këshilli Mbikëqyrës i Bankës së Shqipërisë vendosi ta mbajë normën bazë të interesit në nivelin 2.5 për qind. Normat për depozitën dhe kredinë njëditore mbetën përkatësisht 1.5 dhe 3.5 për qind pas shqyrtimit të raportit të politikës monetare.,real,0,fake,1,0.4654,0.5346,1.0,uncertain,ekonomi,Banka e Shqipërisë,institutional_financial,2026-05-06,False,false_positive,0.5346,45,307,0,0.028112,0.09772,,,,medium_45_47,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (45 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. Pragjet e zhvendosën këtë gabim binar në zonën uncertain.
EXT-R-010,Fondi i Ndërhyrjes së Jashtëzakonshme arrin 8.22 miliardë lekë,"Banka e Shqipërisë njoftoi se Fondi i Ndërhyrjes së Jashtëzakonshme u shtua me 1.18 miliardë lekë nga kontributi vjetor i bankave. Pas nëntë vitesh kontribute, niveli i përgjithshëm i fondit arriti në 8.22 miliardë lekë.",real,0,fake,1,0.059,0.941,1.0,likely_fake,ekonomi,Banka e Shqipërisë,institutional_financial,2026-05-20,False,false_positive,0.941,41,283,0,0.04,0.067138,,,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (41 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. Gabimi mbeti me të paktën 90% siguri; calibration nuk garanton saktësi për një rast individual jashtë shpërndarjes së trajnimit.
