article_id,pair_id,true_label,true_label_name,predicted_label,prediction,probability_real,probability_fake,predicted_confidence,error_type,title,content_excerpt,word_count,source_markers_found,sensational_words_found,diacritic_ratio,uppercase_ratio,exclamation_count,is_high_confidence_error,is_near_50_error,is_uncertain_35_65,interpretation
true_46,46,0,real,1,fake,0.496227,0.503773,0.503773,false_positive,"Reagon Mimoza Kusari për sulmin ndaj deputetit të VV-së: Kur ju iku marrja, ju iku edhe mendja e gënjejnë pa turp","Deputetja e Kuvendit të Kosovës, Mimoza Kusari, ka reaguar pas publikimit të pamjeve të sulmit ndaj deputetit të VV-së në hollin e Kuvendit të Kosovës.Ajo në postimin e saj në Facebook, ka shkruar se kur ju iku marrja, ju iku edhe mendja e gënjejnë pa turp.Postimi i plotë:Si duken goditjet tinëzare ",118,,,0.051163,0.04142,0,False,True,True,"Mund të jetë ngatërruar sepse është relativisht i shkurtër. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_64,64,0,real,1,fake,0.49073,0.50927,0.50927,false_positive,"Thaçi viziton familjen e Murat dhe Enver Halitit, ndan urdhërin “Hero i Kosovës”","Presidenti i vendit, Hashim Thaçi, sot ka vizituar familjen e Murat dhe Enver Halitit.Thaçi ka shkruar se, familja Haliti ishte shpesh herë strehë e grupimit të tyre, shkruan “Bota Sot”.Presidenti ka ndarë urdhërin “Hero i Kosovës” për familjen Haliti, siç shkruan ai vendi ku u rritën dhe u edukuan ",148,,,0.05618,0.053073,0,False,True,True,"Mund të jetë ngatërruar sepse ka nivel relativisht të lartë kapitalizimi. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_212,212,0,real,1,fake,0.422583,0.577417,0.577417,false_positive,"I moshuari nga Ferizaj akuzon shumë rëndë Thaçin dhe Veselin, kërkon të hiqet fotografia e tyre","Pas propozimit të aktakuzës nga Gjykata Speciale ndaj presidentit, Hashim Thaçi dhe kreut të PDK-së, Kadri Veseli, aktakuzë në të cilën ndër tjerash Thaçi dhe Veseli akuzohen edhe për vrasjen e kundërshtarëve politikë, në Kosovë vërshuan të shpërndahen dhe të vendosen fotografitë e tyre nëpër objekt",118,,,0.067961,0.052542,0,False,False,True,"Mund të jetë ngatërruar sepse ka nivel relativisht të lartë kapitalizimi; është relativisht i shkurtër. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_221,221,0,real,1,fake,0.350659,0.649341,0.649341,false_positive,"Emocionuese, mërgimtari takohet me prindërit pas pesë vitesh","Mërgimtarët tanë shpeshherë përballen me gjëra nga më të ndryshmet, e njëra ndër to është edhe malli për prindërit e atdheun.Ata shumicën e rasteve, detyrohen të qëndrojnë kohë të gjatë pa u parë me të afërmit e tyre.Pas pesë vitesh e gjysmë, një mërgimtar është kthyer në Kosovë, ku ka takuar prindë",151,,,0.063452,0.0208,0,False,False,True,"Mund të jetë ngatërruar sepse fjalori i tekstit real mund t'i ngjajë artikujve fake. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_232,232,0,real,1,fake,0.145042,0.854958,0.854958,false_positive,Këshilltari i Bidenit e vlerëson lart Thaçin,"Michael Carpenter, këshilltar i Joe Biden, kandidatit për president të SHBA-së, si dhe njohës i çështjeve për Rusi, Euro Azi dhe Ballkanin Perëndimor, ka thënë se ende është herët të konstatohet për fituesin e zgjedhjeve presidenciale, ndonëse tani Biden ka një epërsi ndaj kundër",211,deklaroi,,0.0,0.041966,0,False,False,False,"Mund të jetë ngatërruar sepse fjalori i tekstit real mund t'i ngjajë artikujve fake. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_248,248,0,real,1,fake,0.426276,0.573724,0.573724,false_positive,"Cubat e maleve, s'ka kush i bën bashkë?!","Sepse,Asnjeri prej tyre nuk ka kultur te ndërgjegjeshme demokratike.Thjeshtë nuk din dhe nuk e kuptojnë demokracin.Ata nuk mendojnë për demokracin,sjelljet e tyre nëdemokraci.Ata sjelljet dhe egot e tyre i qesin para vlerave demokratike përendimore.Sepse,Shumica nuk i kuptojn proceset demokratike zh",624,sipas,,0.051439,0.014957,1,False,False,True,"Mund të jetë ngatërruar sepse përdor pikëçuditëse. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_412,412,0,real,1,fake,0.45507,0.54493,0.54493,false_positive,"Ischinger lobon për heqjen e vizave, von Cramon i reagon: Mos harro t’ua thash këtë Macronit dhe Rutte’s","Diplomati gjerman, Wolfgang Ischinger, ka kërkuar liberalizim të vizave për Kosovën.Ai përmes një postimi në Twitter ka thënë seliberalizimi i vizave për qytetarët e Kosovës është premtim i paplotësuar iBashkimit Evropian.Duke shpërndarë një postim të vitit 2018 tëKomisionit Evropian përmes së cilit",170,,,0.066482,0.046275,0,False,True,True,"Mund të jetë ngatërruar sepse fjalori i tekstit real mund t'i ngjajë artikujve fake. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_463,463,0,real,1,fake,0.486336,0.513664,0.513664,false_positive,"Gjyste Vulaj sfidon moshën, me foton e fundit la edhe njëherë nën hije vajzat e reja","Gjyste Vulaj duket tejet atraktive në foton e fundit.Këngëtarja e njohur shqiptare, Gjyste Vulaj, karrierën muzikore e ka nisur herët.Mirëpo ani pse ka kaluar kohë prej kur ajo është në skenë ajo nuk di të ndalet madje po e sfidon edhe moshën për nga paraqitja e jashtme.Ajo së fundmi e ka publikuar ",113,,,0.054662,0.023857,0,False,True,True,"Mund të jetë ngatërruar sepse është relativisht i shkurtër. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_465,465,0,real,1,fake,0.377483,0.622517,0.622517,false_positive,Zgjerimi i familjes? Milot Rashica flet për planet,"Futbollisti i ekipit të Kosovës Milot Rashica ishte sonte i ftuari i fundit i “NIN” për këtë sezonë.Ai shpalosi shumë detaje nga jeta e tij private në retrospektivë por edhe zhvillimet e fundit, përfshirë bërjen baba.Ndjekësit e emisionit pyetën Milotin se kur do të bëhet baba sërish.A është në plan",70,,,0.057831,0.043988,0,False,False,True,"Mund të jetë ngatërruar sepse është relativisht i shkurtër. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
true_530,530,0,real,1,fake,0.475715,0.524285,0.524285,false_positive,Morena ‘rrëzohet’ në rrafsh,"U bë kinse nuk po sheh.Morena Taraku ka publikuar një tjetër video në Instagram, aty ku ka disa ditë që është fort aktive.Në video shihet se shumë pranë saj kishte një pishinë, ngjyra e së cilit ngjante me ngjyrën e pllakave në dysheme dhe vërtetë dukej sikur po rrëzohej.Morena hyri me syze e fustan",63,,,0.061404,0.032727,0,False,True,True,"Mund të jetë ngatërruar sepse është relativisht i shkurtër. TF-IDF njeh modele fjalësh, jo vërtetësinë faktike."
