model,model_display,cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,brier_score,log_loss,confusion_matrix,false_positives,false_negatives,likely_real,uncertain,likely_fake,strong_coverage,strong_accuracy,mean_probability_fake_real,mean_probability_fake_fake
word_tfidf,Word TF-IDF,all_internal_test,792,399,393,0.8838,0.8843,0.8838,0.8838,0.8717,0.9023,0.8867,0.8971,0.8651,0.8808,0.080866,0.281648,"[[360, 39], [53, 340]]",39,53,352,110,330,0.8611,0.9399,0.1639,0.8389
word_tfidf,Word TF-IDF,internal_30_60,9,6,3,0.7778,0.8667,0.7778,0.7833,1.0,0.6667,0.8,0.6,1.0,0.75,0.195357,0.579755,"[[4, 2], [0, 3]]",2,0,2,3,4,0.6667,0.8333,0.4947,0.9532
word_tfidf,Word TF-IDF,short_real_30_60,6,6,0,0.6667,1.0,0.6667,0.8,1.0,0.6667,0.8,0.0,0.0,0.0,0.291731,0.845552,"[[4, 2], [0, 0]]",2,0,2,3,1,0.5,0.6667,0.4947,
word_tfidf,Word TF-IDF,long_fake_gt_250,29,0,29,0.1379,1.0,0.1379,0.2424,0.0,0.0,0.0,1.0,0.1379,0.2424,0.629567,2.36424,"[[0, 0], [25, 4]]",0,25,19,8,2,0.7241,0.0952,,0.2495
word_tfidf,Word TF-IDF,length_very_short_le_60,9,6,3,0.7778,0.8667,0.7778,0.7833,1.0,0.6667,0.8,0.6,1.0,0.75,0.195357,0.579755,"[[4, 2], [0, 3]]",2,0,2,3,4,0.6667,0.8333,0.4947,0.9532
word_tfidf,Word TF-IDF,length_short_61_120,341,75,266,0.9267,0.9253,0.9267,0.9245,0.8906,0.76,0.8201,0.935,0.9737,0.954,0.046667,0.156708,"[[57, 18], [7, 259]]",18,7,47,39,255,0.8856,0.9768,0.3,0.9365
word_tfidf,Word TF-IDF,length_medium_121_250,269,174,95,0.8587,0.8577,0.8587,0.858,0.882,0.9023,0.892,0.8132,0.7789,0.7957,0.096207,0.316275,"[[157, 17], [21, 74]]",17,21,147,54,68,0.7993,0.9395,0.1776,0.742
word_tfidf,Word TF-IDF,length_long_gt_250,173,144,29,0.8439,0.8195,0.8439,0.7984,0.8503,0.9861,0.9132,0.6667,0.1379,0.2286,0.118465,0.458568,"[[142, 2], [25, 4]]",2,25,156,14,3,0.9191,0.8742,0.0627,0.2495
char_tfidf,Character TF-IDF,all_internal_test,792,399,393,0.8826,0.8838,0.8826,0.8825,0.8626,0.9123,0.8867,0.9054,0.8524,0.8781,0.079223,0.271506,"[[364, 35], [58, 335]]",35,58,355,104,333,0.8687,0.9404,0.1526,0.8405
char_tfidf,Character TF-IDF,internal_30_60,9,6,3,0.8889,0.9167,0.8889,0.8918,1.0,0.8333,0.9091,0.75,1.0,0.8571,0.167246,0.712835,"[[5, 1], [0, 3]]",1,0,3,2,4,0.7778,0.8571,0.3916,0.9733
