candidate_id,candidate_display,c_value,length_group,length_description,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,confusion_matrix
linear_svm_c_1_0,Linear SVM (C=1.0),1.0,very_short_le_60,Shumë të shkurtër (<=60),9,6,3,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8917748917748918,1.0,0.8333333333333334,0.9090909090909091,0.75,1.0,0.8571428571428571,1,0,"[[5, 1], [0, 3]]"
linear_svm_c_1_0,Linear SVM (C=1.0),1.0,short_61_120,Të shkurtër (61-120),341,75,266,0.9530791788856305,0.9536091962778179,0.9530791788856305,0.9532993386470658,0.8831168831168831,0.9066666666666666,0.8947368421052632,0.9734848484848485,0.9661654135338346,0.969811320754717,7,9,"[[68, 7], [9, 257]]"
linear_svm_c_1_0,Linear SVM (C=1.0),1.0,medium_121_250,Mesatarë (121-250),269,174,95,0.8810408921933085,0.880137281929187,0.8810408921933085,0.8801094695548073,0.8944444444444445,0.9252873563218391,0.9096045197740112,0.8539325842696629,0.8,0.8260869565217391,13,19,"[[161, 13], [19, 76]]"
linear_svm_c_1_0,Linear SVM (C=1.0),1.0,long_gt_250,Të gjatë (>250),173,144,29,0.8901734104046243,0.8837418541290821,0.8901734104046243,0.8766812402247273,0.8980891719745223,0.9791666666666666,0.9368770764119602,0.8125,0.4482758620689655,0.5777777777777777,3,16,"[[141, 3], [16, 13]]"
linear_svm_c_4_0,Linear SVM (C=4.0),4.0,very_short_le_60,Shumë të shkurtër (<=60),9,6,3,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8917748917748918,1.0,0.8333333333333334,0.9090909090909091,0.75,1.0,0.8571428571428571,1,0,"[[5, 1], [0, 3]]"
linear_svm_c_4_0,Linear SVM (C=4.0),4.0,short_61_120,Të shkurtër (61-120),341,75,266,0.9501466275659824,0.950405373528992,0.9501466275659824,0.9502647620462515,0.881578947368421,0.8933333333333333,0.8874172185430463,0.969811320754717,0.9661654135338346,0.967984934086629,8,9,"[[67, 8], [9, 257]]"
linear_svm_c_4_0,Linear SVM (C=4.0),4.0,medium_121_250,Mesatarë (121-250),269,174,95,0.8810408921933085,0.8802569136306241,0.8810408921933085,0.8804376660234677,0.898876404494382,0.9195402298850575,0.9090909090909091,0.8461538461538461,0.8105263157894737,0.8279569892473119,14,18,"[[160, 14], [18, 77]]"
linear_svm_c_4_0,Linear SVM (C=4.0),4.0,long_gt_250,Të gjatë (>250),173,144,29,0.884393063583815,0.8751863573352863,0.884393063583815,0.8716260366926364,0.8974358974358975,0.9722222222222222,0.9333333333333333,0.7647058823529411,0.4482758620689655,0.5652173913043478,4,16,"[[140, 4], [16, 13]]"
linear_svm_c_2_0,Linear SVM (C=2.0),2.0,very_short_le_60,Shumë të shkurtër (<=60),9,6,3,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8917748917748918,1.0,0.8333333333333334,0.9090909090909091,0.75,1.0,0.8571428571428571,1,0,"[[5, 1], [0, 3]]"
linear_svm_c_2_0,Linear SVM (C=2.0),2.0,short_61_120,Të shkurtër (61-120),341,75,266,0.9501466275659824,0.950405373528992,0.9501466275659824,0.9502647620462515,0.881578947368421,0.8933333333333333,0.8874172185430463,0.969811320754717,0.9661654135338346,0.967984934086629,8,9,"[[67, 8], [9, 257]]"
linear_svm_c_2_0,Linear SVM (C=2.0),2.0,medium_121_250,Mesatarë (121-250),269,174,95,0.8847583643122676,0.8839426433972757,0.8847583643122676,0.8840172038040547,0.8994413407821229,0.9252873563218391,0.9121813031161473,0.8555555555555555,0.8105263157894737,0.8324324324324325,13,18,"[[161, 13], [18, 77]]"
linear_svm_c_2_0,Linear SVM (C=2.0),2.0,long_gt_250,Të gjatë (>250),173,144,29,0.884393063583815,0.8751863573352863,0.884393063583815,0.8716260366926364,0.8974358974358975,0.9722222222222222,0.9333333333333333,0.7647058823529411,0.4482758620689655,0.5652173913043478,4,16,"[[140, 4], [16, 13]]"
