article_id,true_label,selection_position,variant,variant_description,title,variant_content,word_count,probability_real,probability_fake,binary_prediction,decision,full_probability_fake,full_binary_prediction,full_decision,delta_probability_fake_from_full,binary_changed_from_full,decision_changed_from_full,prediction_correct
fake_1698,fake,high_probability_fake,full,Teksti i plotë,"Prekese: Sot u bëra nene pas 10 viteve martes, jam Nene e Trinjakëve, kush me uron i dhent Zoti ate qe i mungon ..","Në maternitetin e Librazhdit një nënë 32-vjeçare ka lindur trinjakë. Por për t’i sjellë në jetë tre fëmijët, ajo ka kryer dy operacione të vështira të cilat zgjatën 6 orë.Alfonia Çota raportohet nga “ABC News” se ishte në rezik për jetën, por një infermiere e spitalit është ofruar për të dhuruar gjak dhe tani ajo bashkë me trinjakët gëzojnë shëndet të plotë.Alfonie Çota sapo ka sjellë në jetë tre fëmijë, dy vajza dhe një djalë.ja ma posht duhet patjeter me kqyr qat moment amo patjeter kqyrne disa sekonda pasi ta keni hapur marketingun hapet artikulli i plotëNë maternitetin e Librazhdit një nënë 32-vjeçare ka lindur trinjakë. Por për t’i sjellë në jetë tre fëmijët, ajo ka kryer dy operacione të vështira të cilat zgjatën 6 orë.Alfonia Çota raportohet nga “ABC News” se ishte në rezik për jetën, por një infermiere e spitalit është ofruar për të dhuruar gjak dhe tani ajo bashkë me trinjakët gëzojnë shëndet të plotë.Alfonie Çota sapo ka sjellë në jetë tre fëmijë, dy vajza dhe një djalë.ja ma posht duhet patjeter me kqyr qat moment amo patjeter kqyrne disa sekonda pasi ta keni hapur marketingun hapet artikulli i plotë",221,0.001,0.999,fake,likely_fake,0.999,fake,likely_fake,0.0,False,False,True
fake_1698,fake,high_probability_fake,title_plus_first_paragraph_proxy,Titull + 120 fjalët e para,"Prekese: Sot u bëra nene pas 10 viteve martes, jam Nene e Trinjakëve, kush me uron i dhent Zoti ate qe i mungon ..","Në maternitetin e Librazhdit një nënë 32-vjeçare ka lindur trinjakë. Por për t’i sjellë në jetë tre fëmijët, ajo ka kryer dy operacione të vështira të cilat zgjatën 6 orë.Alfonia Çota raportohet nga “ABC News” se ishte në rezik për jetën, por një infermiere e spitalit është ofruar për të dhuruar gjak dhe tani ajo bashkë me trinjakët gëzojnë shëndet të plotë.Alfonie Çota sapo ka sjellë në jetë tre fëmijë, dy vajza dhe një djalë.ja ma posht duhet patjeter me kqyr qat moment amo patjeter kqyrne disa sekonda pasi ta keni hapur marketingun hapet artikulli",120,0.0015,0.9985,fake,likely_fake,0.999,fake,likely_fake,-0.0005,False,False,True
fake_1698,fake,high_probability_fake,short_46_words,Versioni rreth 46 fjalë,"Prekese: Sot u bëra nene pas 10 viteve martes, jam Nene e Trinjakëve, kush me uron i dhent Zoti ate qe i mungon ..","Në maternitetin e Librazhdit një nënë 32-vjeçare ka lindur trinjakë. Por për t’i sjellë në jetë tre fëmijët, ajo ka kryer dy operacione",46,0.0626,0.9374,fake,likely_fake,0.999,fake,likely_fake,-0.0616,False,False,True
fake_1698,fake,high_probability_fake,title_only,Vetëm titulli,"Prekese: Sot u bëra nene pas 10 viteve martes, jam Nene e Trinjakëve, kush me uron i dhent Zoti ate qe i mungon ..",,22,0.0461,0.9539,fake,likely_fake,0.999,fake,likely_fake,-0.0451,False,False,True
fake_1885,fake,mid_low_probability_fake,full,Teksti i plotë,"Infermierja e infektuar me Covid-19 i lutet kolegëve: Mos më lini të vdes, kam fëmijë","Një infermiere e infektuar me koronavirus ka zbuluar se si ajo po e përballon luftën me të, dhe çdo ditë i lutet stafit mjekësor që të mos e lënë të vdesë.Në gjendjen e vështirë në të cilën ndodhet, ajo po mban dhe ditar.Kelly Ward, 35 vjeç, u infektua në spital dhe tani është e sëmurë rëndë në Bradford Royal.Nëna e dy fëmijëve nga Shipley, West Yorkshire, rezultoi pozitive me Covid-19 dhe u dërgua menjëherë në spital. Stafi shëndetësor i dha zonjës Ward oksigjen dhe e transferoi atë në njësinë për monitorim kardiak, pastaj në një repart kujdesi intensiv.Ward filloi të frikësohej, duke menduar se nuk i kishte parë ende fëmijët e saj, familjen ose miqtë e saj dhe u shqetësua se çfarë do të ndodhte nëse nuk funksiononte.Ajo përshkroi se kolegët e saj bënë çdo gjë për ta ndihmuar.Zonja Ward shkruan:E NJIHJA NJËRËN PREJ TYRE, NE KEMI PUNUAR SË BASHKU MË PARË DHE UNË I THASHË ASAJ: ” MOS MË LINI TË VDES “.Gjendja e saj dukej se po përmirësohej dhe më pas hëngri për herë të parë, pas tre ditësh të mërkurën, por nuk ka mundur të dalë nga shtrati.Gjithashtu shtoi:NATYRISHT QË DO TË BËJ GJITHÇKA QË MUNDEM PËR TA MPOSHTUR KËTË, SEPSE FËMIJËT E MI KANË NEVOJË PËR MUA. DO TË JETË NJË RRUGË SHUMË E GJATË, POR DO TA FITOJ KËTË BETEJË.",247,0.8331,0.1669,real,likely_real,0.1669,real,likely_real,0.0,False,False,False
fake_1885,fake,mid_low_probability_fake,title_plus_first_paragraph_proxy,Titull + 120 fjalët e para,"Infermierja e infektuar me Covid-19 i lutet kolegëve: Mos më lini të vdes, kam fëmijë","Një infermiere e infektuar me koronavirus ka zbuluar se si ajo po e përballon luftën me të, dhe çdo ditë i lutet stafit mjekësor që të mos e lënë të vdesë.Në gjendjen e vështirë në të cilën ndodhet, ajo po mban dhe ditar.Kelly Ward, 35 vjeç, u infektua në spital dhe tani është e sëmurë rëndë në Bradford Royal.Nëna e dy fëmijëve nga Shipley, West Yorkshire, rezultoi pozitive me Covid-19 dhe u dërgua menjëherë në spital. Stafi shëndetësor i dha zonjës Ward oksigjen dhe e transferoi atë në njësinë për monitorim kardiak, pastaj në një repart kujdesi intensiv.Ward filloi të frikësohej, duke",120,0.8277,0.1723,real,likely_real,0.1669,real,likely_real,0.0054,False,False,False
fake_1885,fake,mid_low_probability_fake,short_46_words,Versioni rreth 46 fjalë,"Infermierja e infektuar me Covid-19 i lutet kolegëve: Mos më lini të vdes, kam fëmijë","Një infermiere e infektuar me koronavirus ka zbuluar se si ajo po e përballon luftën me të, dhe çdo ditë i lutet stafit mjekësor që të mos e lënë të vdesë.Në",47,0.4867,0.5133,fake,uncertain,0.1669,real,likely_real,0.3464,True,True,True
fake_1885,fake,mid_low_probability_fake,title_only,Vetëm titulli,"Infermierja e infektuar me Covid-19 i lutet kolegëve: Mos më lini të vdes, kam fëmijë",,15,0.2794,0.7206,fake,likely_fake,0.1669,real,likely_real,0.5537,True,True,True
fake_1932,fake,low_probability_fake,full,Teksti i plotë,Flet mjekja shqiptare në Kanada: Si të trajtoni virusin në kushtet e shtëpisë,"Në një intervistë dhënë për gazetën, doktoresha e vë theksin në masat parandaluese, siç janë distancimi social, mbajtja e maskave dhe larja e shpeshtë e duarve. “Është shumë më e thjeshtë ta parandalosh këtë virus sesa ta mjekosh atë. Lufta e vërtetë e këtij virusi, fronti i parë i luftës, është në komunitet, në çdo shtëpi, te çdo individ. Spitali është fronti i fundit”, shton doktoresha. Me rëndësi po ashtu është edhe menaxhimi i stresit dhe gjumi i rregullt. “Ajo që shkakton vdekjen, nuk është virusi, është përgjigjja jonë imunitare, që ka për qëllim të vrasë virusin, por në proces e sipër, vret dhe njeriun”, vë në dukje mjekja. Juliana Gorja, MD ÇFP, është mjeke që praktikon në Toronto, Kanada. Gorja ka mbaruar Fakultetin e Mjekësisë në Tiranë dhe specializim për Mjekësi Familje në Universitetin e Otava në Ontarion Veriore. Ajo ka ushtruar mjekësi për 15 vjet në Ontario dhe momentalisht punon në Toronto, ku u shërben mijëra pacientëve të klinikës së saj ambulatore komunitare.Doktoreshë, cila është situata aktuale në Kanada? Sa persona rezultojnë të infektuar nga COVID-19 dhe sa prej tyre kanë ndërruar jetë, duke mos arritur ta fitojnë këtë betejë?Në radhë të parë, doja të përshëndesja stafin dhe lexuesit tuaj. Dëshiroj t’u drejtohem gjithë lexuesve tuaj, të cilët gjatë kësaj periudhe të jashtëzakonshme, pa dyshim, janë të lodhur e të tejngopur me informacione që janë të vështira për t’u kuptuar apo pranuar, në lidhje me një armik të padukshëm që është bërë epiqendra e jetës sonë. Dua t’u them që të mos fokusohen te numrat, numrat janë numra që ndryshojnë përditë. Fokusin mbajeni te vetja dhe familja juaj. Nëse arrini të mbani të shëndetshëm veten dhe familjen tuaj, duke zbatuar këshillat e mjekëve dhe të Shëndetit Publik, ju e keni bërë 0 numrin e të infektuarve në shtëpinë tuaj. Sikur çdo familje e tërë pallatit të jetë kështu, e keni bërë 0 numrin e të infektuarve në pallat. Sikur tërë pallatet e lagjes ta kenë 0, atëherë tërë lagjja e mandej tërë qyteti e ka 0. Dhe kështu me radhë, tërë vendi e ka 0. Pra, mos u shqetësoni për numrat jashtë. Shqetësohuni vetëm për numrin brenda shtëpisë tuaj. Mbajeni 0 këtë numër dhe e keni kryer detyrën tuaj. Deri më 24 prill 2020, numri i njerëzve që janë testuar pozitivë në Kanada është 43 mijë e 551. Numri i vdekjeve nga COVID-19 është 2 mijë e 294. Të shëruarit janë afërsisht 15 mijë e 500. Këto shifra nuk janë të sakta, sepse shpesh do më tepër se 1-2 ditë derisa të vijë përgjigjja e rezultatit të testit, pra, me shumë gjasa përfaqësojnë numrin e rasteve pozitive disa ditë më parë. Duke ditur që testohen vetëm njerëz që përmbushin kriteret e vëna nga Shëndeti Publik, kuptohet që numri i njerëzve që janë të infektuar, është shumë më i madh se ky. Por ky numër është praktikisht i pamundur të përcaktohet. Prandaj, numri më i saktë ose më domethënës është numri i të shtruarve me COVID-19 dhe sidomos ata të shtruar në shërbimin intensiv. Ata numra janë solidë. Deri më tani në gjendje kritike nëpër spitale në Kanada janë 557 pacientë. Vdekshmëria për 1 milion banorë është 61.Cila është mosha mesatare e personave që kanë ndërruar jetë?Deri tani nuk kanë dalë të dhënat e detajuara demografike për fatalitetet në rang kombëtar, jam e sigurt që shumë shpejt do kemi në dorë të dhënat për grupmoshat dhe gjendjen shëndetësore premorbide të tyre. Në provincën e Ontarios, COVID19 tani ka hyrë në institucionet e të sëmurëve rëndë dhe kronikë, në ato që këtu quhen Long Term Care Homes. Ata janë institucione ku ndodhen të sëmurë kryesisht të moshave të mëdha, që, për shkak të problemeve të avancuara shëndetësore, kanë nevojë për kujdes 24 orë. Ata janë ndër më të brishtët e shoqërisë. Këta janë pacientët që po provojnë vdekshmërinë më të lartë tani prej koronavirusit. Në Ontario, në këto qendra, deri tani ka 2 mijë e 287 raste pozitive. Numri i të vdekurve në to është 573. Numri i personelit shëndetësor që punon në këto qendra, të konfirmuar me COVID-19, është 1 mijë e 089 dhe një prej tyre ka humbur jetën.A ka shqiptarë të infektuar?Patjetër që ka. Me kalimin e kohës do dalin dhe të dhënat e distiluara për grupet e ndryshme etnike dhe efektet e përkatësive të ndryshme gjenetike në sëmundshmëri e vdekshmëri.Si po menaxhohet kjo situatë, pra, cilat janë masat e marra nga autoritetet atje?Si kudo, ekonomia ka ndaluar, me përjashtim të shërbimeve esenciale. Kafenetë e restorantet janë mbyllur. Ato që janë hapur ofrojnë vetëm shitje vaktesh që klienti i merr me vete. Njerëzit janë në distancim të theksuar social. Ata që kanë testuar pozitivë ose dyshohen për COVID-19, menaxhohen në shtëpitë e tyre. Rastet e rënda shtrohen në spital. Individët dalin vetëm për gjëra esenciale, si blerja e ushqimeve dhe barnave. Bizneset esenciale janë detyruar me ligj që të zbatojnë në çdo moment distancën minimale prej 2 metër midis punonjësve të biznesit dhe klientëve të tyre. Gjobat janë 500 mijë dollarë për bizneset që nuk i zbatojnë, kurse për individët janë 1000-5000 dollarë. Hyrja në dyqane është e kontrolluar nga punonjës të posaçëm, që sigurohen që numri i njerëzve brenda dyqanit nuk kalon normën e lejuar nga shteti. Parqet e fëmijëve janë mbyllur, natyrisht shkollat dhe çerdhet kanë kohë që janë mbyllur. Kampingjet dhe asnjë lloj grumbullimi njerëzish nuk lejohen. Forcat e Policisë inspektojnë qytetin për zbatimin e rregullave. Gjithë infrastruktura e shëndetësisë, në komunitet dhe spitale, është vënë krejtësisht në shërbim të COVID, duke anuluar gjithë operacionet jourgjente, procedurat jourgjente dhe vizitat jourgjente për pacientët, të cilët po menaxhohen në mënyrë virtuale nga shtëpitë e tyre. Fatmirësisht, këto masa kanë dhënë efektin e tyre, duke u lënë mundësi spitaleve ta përballojnë shumë mirë situatën deri tani.Lidhur me trajtimin e të infektuarve, cilat janë medikamentet që po aplikohen?Në komunitet, të infektuarit nuk kanë nevojë për mjekime specifike. Si për çdo sëmundje virale, hidratimi, pushimi fizik dhe mendor, antipiretikët për uljen e temperaturës dhe vetizolimi efikas, janë standardi i trajtimit. Për sa u përket të sëmurëve në spitale, kuptohet që trajtimi kryesor i tyre është stabilizimi i parametrave vitalë me oksigjen, lëngje intravenoze dhe mjekime të ndryshme në këtë drejtim. E vërteta është që nuk ka kurë për COVID-19. Trajtimet që po përdoren tani nëpër spitale janë në nivel eksperimental dhe nuk kanë evidencë shkencore të nivelit të lartë që vërteton efikasitetin e tyre. Në spitale të ndryshme kanë vendosur protokolle trajtimi me kokteje të ndryshme medikamentesh, që nga antimalariket, antiviralet, antibiotikë si dhe mjekime të tjera që tentojnë të ulin përgjigjen imunitare ndaj virusit, e cila, në shumë raste, është ajo që shkakton shokun që pëson trupi me Covid. Këtu hyjnë mjekime shumë të shtrenjta, si inhibitorët e interleukinës 6 apo dhe mjekime pak të kushtueshme, si kortizoni. Shkenca e COVID-it është në evoluim e sipër. Çdo ditë mjekët nxjerrin konkluzione për mekanizma të veprimit të këtij virusi që nuk i dinin më parë. Ka teori për një mekanizëm që shkakton vaskulit dhe coagulopati vaskulare, tromboza, në gjuhën popullore, kështu që ka qendra spitalore që po eksperimentojnë me hollues gjaku. Në Kanada kanë nisur të grumbullojnë serum nga gjaku i të sëmurëve që e kanë kaluar COVID-19, për t’ua injektuar të sëmurëve rëndë. Përsëri, këto janë ende në nivel eksperimental dhe nuk dihet akoma se sa efektive dhe pa efekte anësore do jenë. Pra, mjekët, në tërë botën, po i përqasen trajtimit të këtij virusi nga drejtime të ndryshme, por deri tani nuk ka kurë. Shumë herë, mjekimet kanë efekte anësore të rënda, kështu që përzgjedhja e kandidatëve për trajtim bëhet me kujdes, në bazë të kritereve të institucionit. Për këtë arsye është shumë e rëndësishme që të ndiqet këshilla e mjekut specialist që ndjek rastin dhe jo lajmërimet bombastike që mund të dalin në televizion apo internet me pretendime për mjekime çudibërëse, nga njerëz që nuk kanë asnjë kualifikim për të bërë rekomandime mjekësore. Është shumë më e thjeshtë ta parandalosh këtë virus sesa ta mjekosh atë. Lufta e vërtetë e këtij virusi, fronti i parë i luftës, është në komunitet, në çdo shtëpi, te çdo individ. Spitali është fronti i fundit.Mendoni që me rritjen e temperaturave do të bjerë edhe virulenca e këtij virusi?Fakt është që ky virus është përhapur edhe në vende të nxehta apo edhe në hemisferën jugore. Prandaj mendoj që temperatura e lartë nuk do ndikojë në të.A ka të dhëna mbi ndikimin që mund të ketë vaksina e tuberkulozit?Studime të bëra vitet e fundit kanë treguar që vaksina e TB ka riprogramuar qelizat imunitare për të luftuar infeksione të tjera, veç TB. Dhe nën këtë presupozim, tani vonë, kanë nisur dhe studimet e eksperimentimet për të parë a ka efekt kjo vaksinë në luftën kundër virusit COVID-19. Natyrisht, do kohë derisa të studiohet efekti dhe të shihet a mund të ekstrapolohet rezultati i marrë në një kampion njerëzish, në popullatë të gjerë. Deri atëherë, masa mbrojtëse më e mirë është distancimi social, larja e shpeshtë dhe e gjatë e duarve, dhe veshja e maskave në publik.Çfarë do të këshillonit për të parandaluar infektimin me COVID-19?Ne tani e dimë që ngarkesa më e madhe virale është 2 ditë para se të fillojnë simptomat. Pra, ata që e shpërndajnë më shumë virusin janë njerëzit asimptomatikë. Ata thjesht me pikat e pështymës, duke folur, mund ta përhapin virusin në dyqan, në punë, në komunitet. Prandaj, këshilla ime është të vishni maska, qoftë dhe të bëra vetë, kur dilni jashtë, në dyqan a farmaci. Maska nuk mbron personin që e vesh atë, por mbron ata rreth tij, sepse ul numrin e pikave të pështymës që mbartin virusin, të cilat bien mbi çdo objekt që rrethon personin në një rreze prej 2 metrash. Maska e veshur mund të jetë e bërë vetë, me dy shtresa cope dhe mundësisht një shtresë filtri brenda, që mund të ndërrohet. Kur hiqet maska, nuk duhet kapur nga pjesë e përparme, por nga lidhëset mbrapa, në mënyrë që të mos kontaminohen duart. Maska të lahet në ujë të nxehtë me sapun ose mund të varet e të lihet në diell disa ditë. Larja e shpeshtë e duarve dhe evitimi i prekjes së fytyrës, janë gjëra kyçe. Dhe mos u takoni me asnjë njeri nëse nuk jetoni nën një çati me të. Gjëja tjetër që do këshilloja, është menaxhimi i stresit. Ajo që shkakton vdekjen, nuk është virusi, është përgjigjja jonë imunitare, që ka për qëllim të vrasë virusin, por në proces e sipër, vret dhe njeriun. Trupi ynë ka qeliza të specializuara për të luftuar infeksionet. Disa prej tyre duan 2 javë që të prodhojnë antitrupa specifike, për të luftuar me efikasitet dhe saktësi virusin. Por në shumë raste, përpara se të vijë dyjavëshi, trupi ynë mobilizon tërë arsenalin e vet mbrojtës, duke lëshuar një sasi të lartë molekulash të quajtura citokina, një fenomen që ne e quajmë stuhia e citokinave, të cilat ndezin një zinxhir reaksionesh inflamatore që në vrull e sipër shkatërron tërë organet. Pra, në vend që të vijë një snajper i saktë për të vrarë vetëm virusin, trupi dërgon një ushtri të tërë me napalm në dorë, që shkatërron çfarë gjen përpara. Stresi dhe mungesa e gjumit rrisin hormonet e stresit në trup. Ka studime që tregojnë që dhe një natë pa gjumë, ose me gjumë të fragmentuar, rrisin nivelin e interleukinave në gjak, të këtyre molekulave që marrin pjesë në zinxhirin e inflamacionit. Prandaj, ulja e nivelit të stresit dhe gjumi i rregullt do na ndihmojnë të qëndrojmë fizikisht e mendërisht të fortë gjatë kësaj periudhe. Meditimi, ushtrimet fizike, shokët e mirë, evitimi i lajmeve negative dhe fokusimi në gjërat pozitive të jetës, ulin stresin e përditshëm.Së fundmi, doktoreshë, çfarë rekomandoni për vetizolimin në shtëpi të njerëzve me simptoma të COVID-19?Vetizolimi, duke qenë i lehtë për njerëzit me disa dhoma në shtëpi, ku i sëmuri mund të rrijë në një dhomë vetëm e ku mund të ketë banjën e vet private, është shumë i vështirë për njerëzit që nuk e kanë atë mundësi dhe jetojnë shumë vetë në një ambient të vogël. Në shëndetësi, një ndër determinantët e sëmundshmërisë, është gjendja ekonomike e njeriut. Kështu, këshilla ime është për ata që nuk kanë mundësi të izolohen në një dhomë të tyren është që duhet ndarë dhoma me një çarçaf ose plastmase nga tavani në dysheme, në dy pjesë, njëra është pjesa ku rri i infektuari, tjetra është pjesa ku rrinë njerëzit e tjerë të shtëpisë. Dhe askush nuk hyn e del në zonën e infektuar. I infektuari të mbajë maskë ose një shall rreth gojës e hundës gjatë tërë kohës. Për banjën, të mbahet një shishe spërkatëse, ku të jenë përzierë një kupë solucion klorine, në 5 kupa ujë dhe të sprucohen gjithë sipërfaqet e tualetit, lavamanit, rubinetet, pasi i infektuari ta ketë përdorur atë. Rrobat e rrugicat, me të cilat ka qenë në kontakt i sëmuri, të mos shkunden. Rrobat të lahen në ujë të nxehtë me sapun dhe gjërat që nuk lahen të nxirren në diell. Rrezet ultraviolet e shkatërrojnë virusin. Virusin, pavarësisht se mund ta kesh marrë në duar a në rroba, nuk duhet pasur frikë. Virusi ka nevojë për ne. Ai nuk replikohet dot as në duart tona e as në rrobat tona. Virusi ka nevojë për mukozën e hundës e të gojës tonë e për konjunktivën e syve tanë. Po qe se nuk e transportojmë vetë atje, merr fund. Të dashur bashkatdhetarë dhe lexues, kjo periudhë do kalojë, herët a vonë. Eventualisht sanksionet do ngrihen dhe jeta do nisë normalitetin, pavarësisht se për një periudhë të gjatë normaliteti do jetë ndryshe nga ai që kemi njohur. Për një periudhë kohe nuk do japim dorën apo përqafojmë shokët e miqtë. Do i bëjmë pazaret apo transaksionet e përditshme në distanca 2 metër nga të tjerët. Do dalim jashtë me maska. Do t’i lajmë duart sikur të jemi kirurgë. Nuk do t’i bëjmë dasmat e vdekjet ashtu siç e kemi zakon. Por që të ngrihen sanksionet, duhet të demonstrojmë si bashkësi që jemi të përgjegjshëm dhe që e mbrojmë njëri-tjetrin si një trup i vetëm, duke ndjekur këshillat e Shëndetit Publik dhe të ekspertëve. Sa më shumë të përgjegjshëm të tregohemi, aq më shpejt do dalim nga kjo situatë. Ju uroj shëndet të plotë dhe forcë!",2376,0.9999,0.0001,real,likely_real,0.0001,real,likely_real,0.0,False,False,False
fake_1932,fake,low_probability_fake,title_plus_first_paragraph_proxy,Titull + 120 fjalët e para,Flet mjekja shqiptare në Kanada: Si të trajtoni virusin në kushtet e shtëpisë,"Në një intervistë dhënë për gazetën, doktoresha e vë theksin në masat parandaluese, siç janë distancimi social, mbajtja e maskave dhe larja e shpeshtë e duarve. “Është shumë më e thjeshtë ta parandalosh këtë virus sesa ta mjekosh atë. Lufta e vërtetë e këtij virusi, fronti i parë i luftës, është në komunitet, në çdo shtëpi, te çdo individ. Spitali është fronti i fundit”, shton doktoresha. Me rëndësi po ashtu është edhe menaxhimi i stresit dhe gjumi i rregullt. “Ajo që shkakton vdekjen, nuk është virusi, është përgjigjja jonë imunitare, që ka për qëllim të vrasë virusin, por në proces e sipër, vret dhe njeriun”, vë në",120,0.4617,0.5383,fake,uncertain,0.0001,real,likely_real,0.5382,True,True,True
