feature,fake_mean,real_mean,fake_median,real_median,fake_min,real_min,fake_max,real_max,fake_std,real_std,fake_minus_real_mean,higher_average_label,mann_whitney_p,ttest_p,cohens_d_fake_minus_real
word_count,131.741984,291.412412,103.0,205.0,31.0,16.0,2376.0,5994.0,119.834205,317.757891,-159.670428,real,2.584931222138156e-227,1.4462503953765192e-90,-0.664917
sentence_count,6.813126,14.469469,5.0,10.0,1.0,1.0,133.0,242.0,7.096446,16.632642,-7.656343,real,9.70704196530443e-211,4.2441735443752786e-75,-0.598769
avg_sentence_length,23.407039,21.342668,21.4,20.43,2.96,4.82,159.0,64.75,11.916953,6.947823,2.064371,fake,5.846472517765529e-06,2.6794046890160294e-11,0.211641
exclamation_count,0.399299,0.383884,0.0,0.0,0.0,0.0,12.0,21.0,0.872515,1.46646,0.015415,fake,4.973505201261904e-19,0.6864341529834148,0.012775
question_count,0.236974,0.288288,0.0,0.0,0.0,0.0,21.0,21.0,0.839773,1.201307,-0.051314,real,0.012702811577725428,0.11775802947167721,-0.049511
uppercase_word_ratio,0.00874,0.007014,0.0,0.002884,0.0,0.0,0.34413,0.096774,0.021629,0.010584,0.001726,fake,3.762206349360395e-06,0.0013737129269793171,0.101386
sensational_count,0.04509,0.022523,0.0,0.0,0.0,0.0,3.0,5.0,0.25717,0.187205,0.022568,fake,0.0012672546636450495,0.0015358280178443743,0.100334
sensational_ratio,0.000464,8.2e-05,0.0,0.0,0.0,0.0,0.057692,0.009804,0.003026,0.000685,0.000382,fake,0.0009140419856570059,4.0622866789932255e-08,0.174336
source_indicator_count,0.239479,0.814815,0.0,0.0,0.0,0.0,24.0,20.0,0.766965,1.533384,-0.575336,real,1.4365703528836562e-65,4.713233027197446e-49,-0.474569
source_indicator_ratio,0.001786,0.003114,0.0,0.0,0.0,0.0,0.051613,0.040179,0.004543,0.005374,-0.001328,real,3.2719765978676524e-45,4.7078288730383e-17,-0.266849
uncertainty_count,0.359218,0.930931,0.0,0.0,0.0,0.0,17.0,27.0,1.087048,1.865061,-0.571712,real,6.862491736072774e-50,1.1393364389845724e-31,-0.374536
uncertainty_ratio,0.002116,0.002846,0.0,0.0,0.0,0.0,0.04712,0.041009,0.005367,0.004907,-0.00073,real,2.0227948344026385e-32,7.505565632924071e-06,-0.141931
diacritic_ratio,0.061972,0.07261,0.06311,0.073049,0.0,0.0,0.116095,0.125326,0.01878,0.012405,-0.010638,real,1.6896073533519325e-94,3.1795872553361997e-93,-0.668437
title_length,79.717435,69.614114,79.0,68.0,18.0,6.0,185.0,170.0,20.524557,22.016672,10.103321,fake,1.621837105325915e-53,1.6199304593317332e-49,0.474698
content_length,675.695391,1671.200701,503.0,1172.5,129.0,40.0,13988.0,35861.0,689.588319,1894.793151,-995.50531,real,8.423927724311319e-265,8.49076213963177e-99,-0.698212
