"article_id","pair_id","label","label_name","word_count","sentence_count","character_count","avg_word_length","avg_sentence_length","title_length","content_length","exclamation_count","question_count","comma_count","quote_count","ellipsis_count","exclamation_ratio","question_ratio","uppercase_word_count","uppercase_word_ratio","uppercase_char_ratio","title_excessive_uppercase","e_count","c_count","diacritic_count","diacritic_ratio","possible_missing_diacritic_count","possible_missing_diacritic_words","sensational_count","sensational_ratio","sensational_found","source_indicator_count","source_indicator_ratio","source_indicators_found","uncertainty_count","uncertainty_ratio","uncertainty_found"
"true_1","1","0","real","296","11","1878","5.04","26.91","85","1792","0","0","20","4","0","0.0","0.0","3","0.010135","0.028188","0","134","0","134","0.071353","0","","0","0.0","","2","0.006757","studimi","0","0.0",""
"true_2","2","0","real","516","26","2979","4.65","19.85","65","2913","0","0","20","21","0","0.0","0.0","0","0.0","0.025031","0","245","5","250","0.083921","0","","0","0.0","","0","0.0","","4","0.007752","thuhet, mund të"
"true_3","3","0","real","93","6","528","4.59","15.5","38","489","0","0","2","1","0","0.0","0.0","0","0.0","0.018779","0","44","3","47","0.089015","0","","0","0.0","","1","0.010753","policia","0","0.0",""
"true_4","4","0","real","106","5","660","5.07","21.2","34","625","0","0","7","10","0","0.0","0.0","2","0.018868","0.073308","0","40","0","40","0.060606","0","","0","0.0","","0","0.0","","0","0.0",""
"true_5","5","0","real","318","14","1886","4.71","22.71","64","1821","0","0","15","2","0","0.0","0.0","1","0.003145","0.02338","0","128","1","129","0.068399","0","","0","0.0","","1","0.003145","sipas","0","0.0",""
"true_6","6","0","real","273","9","1605","4.82","30.33","76","1528","2","0","10","0","0","0.007326","0.0","1","0.003663","0.025875","0","90","2","92","0.057321","0","","0","0.0","","1","0.003663","deklaroi","0","0.0",""
"true_7","7","0","real","430","19","2649","4.92","22.63","73","2575","0","0","33","7","0","0.0","0.0","0","0.0","0.03737","0","204","2","206","0.077765","0","","0","0.0","","1","0.002326","sipas","1","0.002326","thuhet"
"true_8","8","0","real","113","4","685","4.96","28.25","102","582","0","0","2","0","0","0.0","0.0","0","0.0","0.046595","0","44","0","44","0.064234","0","","0","0.0","","1","0.00885","policia","1","0.00885","mund të"
"true_9","9","0","real","466","13","2810","4.92","35.85","85","2724","0","0","30","10","0","0.0","0.0","1","0.002146","0.037297","0","179","4","183","0.065125","0","","0","0.0","","3","0.006438","sipas","4","0.008584","mund të"
"true_10","10","0","real","391","18","2135","4.3","21.72","73","2061","3","0","19","2","0","0.007673","0.0","0","0.0","0.027926","0","149","5","154","0.072131","0","","0","0.0","","0","0.0","","0","0.0",""
