external_id,label,topic,title,exact_training_title,exact_training_content,exact_training_text,max_training_similarity,nearest_training_article_id,nearest_training_title,high_similarity_to_training,max_external_similarity,nearest_external_id,high_similarity_within_external
EXT-R-001,real,politikë,Prezantohet programi EU4Municipalities II për bashkitë shqiptare,False,False,False,0.169551,true_1506,"BE arrin ujdinë, paketa arrin shifrën 1.8 bilionë euro për rimëkëmbjen nga Covid-19",False,0.219754,EXT-R-019,False
EXT-R-002,real,politikë,Shqipëria merr pjesë në Konferencën e tetë Ndërqeveritare me BE-në,False,False,False,0.233982,fake_1404,"Lajm i madh nga Brukseli, Angela Merkel e thotë troç: Brenda vitit me Shqiptarët duhet të?",False,0.454427,EXT-R-003,False
EXT-R-003,real,politikë,Shqipëria mbyll provizorisht tre kapituj negociatash me BE-në,False,False,False,0.246752,fake_1404,"Lajm i madh nga Brukseli, Angela Merkel e thotë troç: Brenda vitit me Shqiptarët duhet të?",False,0.454427,EXT-R-002,False
EXT-R-004,real,politikë,Qeveria diskuton kalendarin e negociatave me Bashkimin Europian,False,False,False,0.225201,true_158,"Ishin së bashku në takim me Grenellin, Veliu dhe Hyseni bisedojnë sot për dialogun Kosovë-Serbi",False,0.262101,EXT-R-002,False
EXT-R-005,real,shëndetësi,Spitali Rajonal i Lezhës zgjeron shërbimet e specializuara,False,False,False,0.230118,true_1650,Zemaj paralajmëron vizitë së shpejti në Veri,False,0.228412,EXT-R-006,False
EXT-R-006,real,shëndetësi,Prezantohet projekti për qendrën spitalore Health Hub Hospital në Tiranë,False,False,False,0.173917,true_1019,"Në Spitalin e Pejës po trajtohen 67 pacientë me COVID-19, 16 punëtorë shëndetësor të infektuar",False,0.228412,EXT-R-005,False
EXT-R-007,real,shëndetësi,Tetë spitale rajonale ofrojnë njësi kimioterapie,False,False,False,0.339944,true_1501,119 rate të reja me COVID-19 në Shqipëri dhe 4 viktima,False,0.208925,EXT-R-005,False
EXT-R-008,real,shëndetësi,Buxhetit të shëndetësisë i shtohen fonde për barnat onkologjike,False,False,False,0.208325,true_494,Dubai me buxhetin më të madh në histori për stimulimin e ekonomisë,False,0.196019,EXT-R-010,False
EXT-R-009,real,ekonomi,Banka e Shqipërisë mban të pandryshuar normën bazë të interesit,False,False,False,0.15755,true_305,Kim: Çdo akt i kuvendit nesër nuk i mbyll negociatat në Këshillin Politik për listat e koalicionet,False,0.127467,EXT-F-011,False
EXT-R-010,real,ekonomi,Fondi i Ndërhyrjes së Jashtëzakonshme arrin 8.22 miliardë lekë,False,False,False,0.195283,fake_1360,"Të shtunën gjendje e jashtëzakonshme, ja se çfarë nënkupton që do të ndodhë nga e diela",False,0.229582,EXT-R-012,False
